Neighbourhood,Neighbourhood Postal Code,Neighbourhood Latitude,Neighbourhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Postal Code,Venue formattedAddress,Venue Category,Venue Postal Code Prefix
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,H2otel,51.9173925337387,4.487061131594537,32,3011 WR,"['Wijnhaven 20a', '3011 WR Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,ibis Rotterdam City Centre,51.91734678762638,4.488300942895886,105,3011 WP,"['Wijnhaven 12', '3011 WP Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,citizenM,51.91925901197693,4.490480849856352,306,3011 WZ,"['Gelderseplein 50', '3011 WZ Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,935,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,The James,51.92107428957907,4.477825682849285,727,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,1062,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,nhow,51.90710686467184,4.488491585172602,1179,3072 AP,"['Wilhelminapier 137', '3072 AP Rotterdam', 'Nederland']",Hotel,3072
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Mainport Hotel,51.913362,4.482475,564,3011 EA,"['Leuvehaven 77', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Grand Hotel Central,51.92305111571185,4.476566478788637,926,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Inntel Hotels Rotterdam Centre,51.912675096990135,4.482800355680386,620,3011 EA,"['Leuvehaven 80', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Annabel,51.92540257556953,4.475941780747949,1142,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Old Dutch,51.91577576266155,4.4712633464381435,1090,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,1171,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Kijk-Kubus Museum,51.920324337784194,4.490140632039386,372,3011 MH,"['Overblaak 70', '3011 MH Rotterdam', 'Nederland']",Museum,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Hartig,51.91648381018933,4.478033367653975,619,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,693,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Hilton Rotterdam,51.92348087523358,4.477438266531781,915,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Hampshire Hotel - Savoy Rotterdam,51.922328594807134,4.491913117391668,625,3011 PJ,"['Hoogstraat 81', '3011 PJ Rotterdam', 'Nederland']",Hotel,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Rodin,51.916298743121025,4.48117441259471,418,3011 ES,"['Schilderstraat 20a', '3011 ES Rotterdam', 'Nederland']",French Restaurant,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Oude Luxor Theater,51.923231265710996,4.477055605176264,914,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Hotel-Restaurant Bazar,51.915845,4.478786,589,3012 BP,"['Witte de Withstraat 16', '3012 BP Rotterdam', 'Nederland']",Hotel,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Huson,51.910903789254796,4.478037494768947,965,3011 BS,"['scheepstimmermanslaan 14 (oostzeedijk)', 'Rotterdam', 'Nederland']",French Restaurant,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,De Harmonie,51.91388895002316,4.47488693820459,922,1017 JL,"['Prinsengracht 816', '1017 JL Rotterdam', 'Nederland']",Hotel,1017
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,The Manhattan Brasserie & Bar,51.92255556228822,4.471417357124218,1191,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",French Restaurant,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Pierre,51.923736502327,4.487523268189586,678,3011LH,"['Pannekoekstraat 38A (Meent)', '3011LH Rotterdam', 'Nederland']",French Restaurant,3011
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Natuurhistorisch Museum Rotterdam,51.91079,4.47255,1244,3015 AA,"['Westzeedijk 345', '3015 AA Rotterdam', 'Nederland']",Museum,3015
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,927,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Stadsdriehoek/Rotterdam Centrum,3011,51.91765820000001,4.4868516,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,1142,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,166,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,The James,51.92107428957907,4.477825682849285,233,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,416,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Grand Hotel Central,51.92305111571185,4.476566478788637,409,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,277,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Days Inn,51.92830792825404,4.473928981412871,999,3032 AL,"['Schiekade 730', '3032 AL Rotterdam', 'Nederland']",Hotel,3032
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,557,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,439,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hotel Breitner,51.91566989757951,4.469307301445345,608,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hartig,51.91648381018933,4.478033367653975,360,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Old Dutch,51.91577576266155,4.4712633464381435,508,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hilton Rotterdam,51.92348087523358,4.477438266531781,468,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,H2otel,51.9173925337387,4.487061131594537,807,3011 WR,"['Wijnhaven 20a', '3011 WR Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Mainport Hotel,51.913362,4.482475,815,3011 EA,"['Leuvehaven 77', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Oude Luxor Theater,51.923231265710996,4.477055605176264,435,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Inntel Hotels Rotterdam Centre,51.912675096990135,4.482800355680386,891,3011 EA,"['Leuvehaven 80', '3011 EA Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Annabel,51.92540257556953,4.475941780747949,667,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,KINO,51.91717560621591,4.469214206279973,513,3014 PM,"['Gouvernestraat 129-133', '3014 PM Rotterdam', 'Nederland']",Movie Theater,3014
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,ibis Rotterdam City Centre,51.91734678762638,4.488300942895886,890,3011 WP,"['Wijnhaven 12', '3011 WP Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Hotel-Restaurant Bazar,51.915845,4.478786,447,3012 BP,"['Witte de Withstraat 16', '3012 BP Rotterdam', 'Nederland']",Hotel,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,citizenM,51.91925901197693,4.490480849856352,1010,3011 WZ,"['Gelderseplein 50', '3011 WZ Rotterdam', 'Nederland']",Hotel,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Rodin,51.916298743121025,4.48117441259471,507,3011 ES,"['Schilderstraat 20a', '3011 ES Rotterdam', 'Nederland']",French Restaurant,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Kijk-Kubus Museum,51.920324337784194,4.490140632039386,992,3011 MH,"['Overblaak 70', '3011 MH Rotterdam', 'Nederland']",Museum,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,The Manhattan Brasserie & Bar,51.92255556228822,4.471417357124218,460,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",French Restaurant,3012
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Pierre,51.923736502327,4.487523268189586,940,3011LH,"['Pannekoekstraat 38A (Meent)', '3011LH Rotterdam', 'Nederland']",French Restaurant,3011
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Natuurhistorisch Museum Rotterdam,51.91079,4.47255,984,3015 AA,"['Westzeedijk 345', '3015 AA Rotterdam', 'Nederland']",Museum,3015
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Miniworld Rotterdam,51.922658046060604,4.4647965835253425,835,3013 AL,"['Weena 745', '3013 AL Rotterdam', 'Nederland']",Museum,3013
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Le Nord,51.927148849105734,4.4726759715782665,887,3033 CA,"['Proveniersstraat 33a', '3033 CA Rotterdam', 'Nederland']",French Restaurant,3033
Cool/Rotterdam Centrum,3012,51.9194046,4.4757692,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,627,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,264,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Days Inn,51.92830792825404,4.473928981412871,550,3032 AL,"['Schiekade 730', '3032 AL Rotterdam', 'Nederland']",Hotel,3032
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,458,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Grand Hotel Central,51.92305111571185,4.476566478788637,520,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,975,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,The James,51.92107428957907,4.477825682849285,688,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Annabel,51.92540257556953,4.475941780747949,475,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Theater 't Kapelletje,51.92946942278227,4.470156218690042,580,3033 SR,"['Van der Sluysstraat 176', 'Rotterdam', 'Nederland']",Theater,3033
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,The Manhattan Brasserie & Bar,51.92255556228822,4.471417357124218,243,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",French Restaurant,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hotel Breitner,51.91566989757951,4.469307301445345,959,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,FG Restaurant,51.92640473389918,4.479447305202484,738,3032 AE,"['Katshoek 37b', 'Nederland']",French Restaurant,3032
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,KINO,51.91717560621591,4.469214206279973,791,3014 PM,"['Gouvernestraat 129-133', '3014 PM Rotterdam', 'Nederland']",Movie Theater,3014
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,WORM,51.91564622542384,4.476397066924331,1079,3012 XA,"['Boomgaardsstraat 71 (Witte de Withstraat)', '3012 XA Rotterdam', 'Nederland']",Music Venue,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hotel Rotterdam,51.9289646878853,4.473881098167458,609,3032 AK,"['Schiekade 658 (Roo Valkstraat)', '3032 AK Rotterdam', 'Nederland']",Hotel,3032
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Kamer 3.11,51.917316,4.477079,944,3012 KE,"['Westblaak 67', '3012 KE Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Old Dutch,51.91577576266155,4.4712633464381435,957,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hilton Rotterdam,51.92348087523358,4.477438266531781,569,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hofpleintheater,51.92792985431985,4.47735430983401,688,3032 CC,"['Benthemstraat 13', '3032 CC Rotterdam', 'Nederland']",Theater,3032
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hartig,51.91648381018933,4.478033367653975,1057,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Oude Luxor Theater,51.923231265710996,4.477055605176264,548,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Miniworld Rotterdam,51.922658046060604,4.4647965835253425,355,3013 AL,"['Weena 745', '3013 AL Rotterdam', 'Nederland']",Museum,3013
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,725,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hotel Emma Rotterdam,51.91684869270132,4.47273127968555,861,3015BA,"['Nieuwe Binnenweg 6 (Eendrachtsplein)', '3015BA Rotterdam', 'Nederland']",Hotel,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Hotel-Restaurant Bazar,51.915845,4.478786,1145,3012 BP,"['Witte de Withstraat 16', '3012 BP Rotterdam', 'Nederland']",Hotel,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Le Nord,51.927148849105734,4.4726759715782665,395,3033 CA,"['Proveniersstraat 33a', '3033 CA Rotterdam', 'Nederland']",French Restaurant,3033
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Rodin,51.916298743121025,4.48117441259471,1208,3011 ES,"['Schilderstraat 20a', '3011 ES Rotterdam', 'Nederland']",French Restaurant,3011
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Amarone,51.922403,4.483389,993,3011 JN,"['Meent 72a', '3011 JN Rotterdam', 'Nederland']",French Restaurant,3011
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Rotterdamse Schouwburg,51.9205330131339,4.474169612057505,537,3012 CL,"['Schouwburgplein 25', '3012 CL Rotterdam', 'Nederland']",Theater,3012
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Staal Rotterdam,51.92014350537927,4.480370571055765,892,3011 AA,"['Beursplein 37 (Coolsingel)', '3011 AA Rotterdam', 'Nederland']",Bistro,3011
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Het Nieuwe Instituut,51.91461204938058,4.470966544496404,1083,3015 CB,"['Museumpark 25', '3015 CB Rotterdam', 'Nederland']",Museum,3015
Rotterdam Centraal/Weena,3013,51.92428870000001,4.4692509000000005,Huis Sonneveld,51.91561,4.472333,989,3015 CG,"['Jongkindstraat 12', '3015 CG Rotterdam', 'Nederland']",Museum,3015
Oude Westen,3014,51.91977199999999,4.4660891,KINO,51.91717560621591,4.469214206279973,359,3014 PM,"['Gouvernestraat 129-133', '3014 PM Rotterdam', 'Nederland']",Movie Theater,3014
Oude Westen,3014,51.91977199999999,4.4660891,Days Inn,51.92830792825404,4.473928981412871,1092,3032 AL,"['Schiekade 730', '3032 AL Rotterdam', 'Nederland']",Hotel,3032
Oude Westen,3014,51.91977199999999,4.4660891,Bilderberg Parkhotel Rotterdam,51.915927997681884,4.473517188129288,665,3015 LB,"['Westersingel 70', '3015 LB Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Breitner,51.91566989757951,4.469307301445345,507,3015 XA,"['Breitnerstraat', 'Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,The James,51.92107428957907,4.477825682849285,818,3012 CA,"['Aert van Nesstraat 25', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Orion,51.91268729873533,4.461657393336214,845,3021 JM,"['Zwaerdecroonstraat 40', 'Rotterdam', 'Nederland']",Hotel,3021
Oude Westen,3014,51.91977199999999,4.4660891,Rotterdam Marriott Hotel,51.92241389415069,4.471624195521144,480,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Holiday Inn Express Rotterdam - Central Station,51.92441487211056,4.475928246974945,850,3013 CK,"['Weena 121', '3013 CK Rotterdam', 'Nederland']",Hotel,3013
Oude Westen,3014,51.91977199999999,4.4660891,Grand Hotel Central,51.92305111571185,4.476566478788637,806,3012 EH,"['Kruiskade 12 (Coolsingel)', '3012 EH Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Old Dutch,51.91577576266155,4.4712633464381435,569,3015EK,"['Rochussenstraat 20', '3015EK Rotterdam', 'Nederland']",French Restaurant,3015
Oude Westen,3014,51.91977199999999,4.4660891,Annabel,51.92540257556953,4.475941780747949,922,3013 AH,"['Schiestraat 20', '3013 AH Rotterdam', 'Nederland']",Music Venue,3013
Oude Westen,3014,51.91977199999999,4.4660891,WORM,51.91564622542384,4.476397066924331,843,3012 XA,"['Boomgaardsstraat 71 (Witte de Withstraat)', '3012 XA Rotterdam', 'Nederland']",Music Venue,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Emma Rotterdam,51.91684869270132,4.47273127968555,560,3015BA,"['Nieuwe Binnenweg 6 (Eendrachtsplein)', '3015BA Rotterdam', 'Nederland']",Hotel,3015
Oude Westen,3014,51.91977199999999,4.4660891,Kamer 3.11,51.917316,4.477079,802,3012 KE,"['Westblaak 67', '3012 KE Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hartig,51.91648381018933,4.478033367653975,898,3012 VA,"['Hartmanstraat 20a', '3012 VA Rotterdam', 'Nederland']",Bistro,3012
Oude Westen,3014,51.91977199999999,4.4660891,Miniworld Rotterdam,51.922658046060604,4.4647965835253425,333,3013 AL,"['Weena 745', '3013 AL Rotterdam', 'Nederland']",Museum,3013
Oude Westen,3014,51.91977199999999,4.4660891,Hilton Rotterdam,51.92348087523358,4.477438266531781,881,3012 CM,"['Weena 10', '3012 CM Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel NH Atlanta Rotterdam,51.92120700894419,4.478558387971228,870,3012 CA,"['Aert van Nesstraat 4', '3012 CA Rotterdam', 'Nederland']",Hotel,3012
Oude Westen,3014,51.91977199999999,4.4660891,Oude Luxor Theater,51.923231265710996,4.477055605176264,845,3012 EH,"['Kruiskade 10', '3012 EH Rotterdam', 'Nederland']",Theater,3012
Oude Westen,3014,51.91977199999999,4.4660891,Hotel Light,51.91532283902534,4.46351728299681,525,3014EJ,"[""'s Gravendijkwal 100"", '3014EJ Rotterdam', 'Nederland']",Hotel,3014
Oude Westen,3014,51.91977199999999,4.4660891,The Manhattan Brasserie & Bar,51.92255556228822,4.471417357124218,479,3012 CN,"['Weena 686', '3012 CN Rotterdam', 'Nederland']",French Restaurant,3012
